date,UMDF Channel Derivatives,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200127,MBO Ch.7 - Equity Index Futures,2.466.295,1.744,"   1,2367",1744,"   1,2367 "
20200127,MBO Ch.8 - Market Maker Program,5.788.126,794,"   0,4829",154,"   0,1151 "
20200127,MBO Ch.9 - FX Spot,2.254,14,"   0,0044",0,0 
20200127,MBO Ch.10 - Equity Index Fut-mini,15.676.134,4.785,"   4,6182",4648,"   4,6182 "
20200128,Peak of Messages - 10:44:59,0,0,0,7385,"   5,8009"
20200128,MBO Ch.1 - FX Futures,3.866.836,2.474,"   1,9293",632,"   0,3963 "
20200128,MBO Ch.2 - FX Options,279.894,1.125,"   0,7565",27,"   0,0173 "
20200128,MBO Ch.3 - Interest rate Futures,965.931,4.591,"   2,8776",53,"   0,0331 "
20200128,MBO Ch.4 - Interest rate Option,38.645,826,"   0,5462",0,0 
20200128,MBO Ch.5 - Commodity Futures,48.361,166,"   0,1092",3,"   0,0021 "
20200128,MBO Ch.6 - Commodity Options,50.816,1.267,"   0,8219",0,0 
20200128,MBO Ch.7 - Equity Index Futures,2.842.282,1.774,"   1,1787",1396,"   0,9081 "
20200128,MBO Ch.8 - Market Maker Program,5.217.843,431,"   0,2935",149,"   0,1123 "
20200128,MBO Ch.9 - FX Spot,2.302,13,"   0,0056",0,0 
20200128,MBO Ch.10 - Equity Index Fut-mini,13.820.167,5.386,"   4,6356",5125,"   4,3317 "
20200129,Peak of Messages - 11:57:30,0,0,0,8098,"   6,8228"
20200129,MBO Ch.1 - FX Futures,4.580.674,2.572,"   2,0048",1067,"   0,8583 "
20200129,MBO Ch.2 - FX Options,962.566,1.484,"   1,0165",320,"   0,2324 "
20200129,MBO Ch.3 - Interest rate Futures,1.093.640,5.960,"   3,6504",83,"   0,0435 "
20200129,MBO Ch.4 - Interest rate Option,41.195,843,"   0,5601",0,0 
20200129,MBO Ch.5 - Commodity Futures,65.800,225,"   0,1505",0,0 
20200129,MBO Ch.6 - Commodity Options,50.532,1.465,"   0,9411",1,"   0,0002 "
20200129,MBO Ch.7 - Equity Index Futures,3.240.097,2.122,"   1,4362",1311,"   0,9246 "
20200129,MBO Ch.8 - Market Maker Program,4.497.189,588,"   0,3638",242,"   0,1614 "
20200129,MBO Ch.9 - FX Spot,2.248,13,"   0,0041",0,0 
20200129,MBO Ch.10 - Equity Index Fut-mini,15.795.971,5.399,"   4,8665",5074,"   4,6025 "
20200131,Peak of Messages - 11:06:00,0,0,0,11195,"   7,5253"
20200131,MBO Ch.1 - FX Futures,4.917.736,4.346,"   3,2823",4346,"   3,2823 "
20200131,MBO Ch.2 - FX Options,243.882,1.177,"   0,7899",356,"   0,1936 "
20200131,MBO Ch.3 - Interest rate Futures,1.279.622,5.563,"   3,4783",3267,"   1,9699 "
20200131,MBO Ch.4 - Interest rate Option,39.088,850,"   0,5667",0,0 
20200131,MBO Ch.5 - Commodity Futures,106.518,168,"   0,1169",0,0 
20200131,MBO Ch.6 - Commodity Options,69.717,1.634,"   1,0484",0,0 
20200131,MBO Ch.7 - Equity Index Futures,3.749.125,1.508,"   0,9514",502,"   0,3273 "
20200131,MBO Ch.8 - Market Maker Program,2.645.205,525,"   0,3101",88,"   0,0661 "
20200131,MBO Ch.9 - FX Spot,2.382,13,"   0,0087",0,0 
20200131,MBO Ch.10 - Equity Index Fut-mini,20.145.983,4.886,"   4,1466",2636,"   1,6861 "
20200203,Peak of Messages - 10:03:47,0,0,0,6265,"   5,3153"
20200203,MBO Ch.1 - FX Futures,3.482.240,1.568,"   1,2428",295,"   0,1636 "
20200203,MBO Ch.2 - FX Options,309.514,1.287,"   0,8495",0,0 
20200203,MBO Ch.3 - Interest rate Futures,701.849,3.109,"   1,8554",99,"   0,0512 "
20200203,MBO Ch.4 - Interest rate Option,35.166,680,"   0,4526",0,0 
20200203,MBO Ch.5 - Commodity Futures,98.168,174,"   0,1206",4,"   0,0025 "
20200203,MBO Ch.6 - Commodity Options,49.008,1.451,"   0,8935",0,0 
20200203,MBO Ch.7 - Equity Index Futures,3.334.523,1.220,"   0,8014",862,"   0,5199 "
20200203,MBO Ch.8 - Market Maker Program,3.843.400,468,"   0,2933",177,"   0,1276 "
20200203,MBO Ch.9 - FX Spot,2.881,14,"   0,0057",0,0 
20200203,MBO Ch.10 - Equity Index Fut-mini,12.696.147,4.828,"   4,4505",4828,"   4,4505 "
20200204,Peak of Messages - 09:57:05,0,0,0,5803,"   5,5291"
20200204,MBO Ch.1 - FX Futures,0,2.228,"   1,9545",170,"   0,1054 "
20200204,MBO Ch.2 - FX Options,0,1.268,"   0,8450",7,"   0,0046 "
20200204,MBO Ch.3 - Interest rate Futures,0,4.304,"   2,7037",9,"   0,0043 "
20200204,MBO Ch.4 - Interest rate Option,0,851,"   0,5636",0,0 
20200204,MBO Ch.5 - Commodity Futures,0,179,"   0,1200",0,0 
20200204,MBO Ch.6 - Commodity Options,0,1.547,"   0,9764",0,0 
20200204,MBO Ch.7 - Equity Index Futures,0,1.397,"   0,8975",712,"   0,4432 "
20200204,MBO Ch.8 - Market Maker Program,0,478,"   0,2887",83,"   0,0621 "
20200204,MBO Ch.9 - FX Spot,0,14,"   0,0060",1,"   0,0002 "
20200204,MBO Ch.10 - Equity Index Fut-mini,0,4.821,"   4,9094",4821,"   4,9094 "
20200205,Peak of Messages - 10:35:29,0,0,0,7077,"   5,5172"
20200205,MBO Ch.1 - FX Futures,3.668.603,2.003,"   1,6816",417,"   0,2667 "
20200205,MBO Ch.2 - FX Options,320.490,1.219,"   0,8157",8,"   0,0049 "
20200205,MBO Ch.3 - Interest rate Futures,898.668,4.699,"   2,8564",101,"   0,0612 "
20200205,MBO Ch.4 - Interest rate Option,36.593,844,"   0,5634",0,0 
20200205,MBO Ch.5 - Commodity Futures,55.483,112,"   0,0755",1,"   0,0005 "
20200205,MBO Ch.6 - Commodity Options,57.932,1.311,"   0,8414",0,0 
20200205,MBO Ch.7 - Equity Index Futures,3.525.784,1.164,"   0,7374",1164,"   0,7374 "
20200205,MBO Ch.8 - Market Maker Program,3.418.961,463,"   0,2842",80,"   0,0604 "
20200205,MBO Ch.9 - FX Spot,2.476,13,"   0,0057",0,0 
20200205,MBO Ch.10 - Equity Index Fut-mini,13.129.613,5.306,"   4,3860",5306,"   4,3860 "
20200206,Peak of Messages - 10:39:13,0,0,0,7095,"   5,7497"
20200206,MBO Ch.1 - FX Futures,4.099.081,1.626,"   1,4274",121,"   0,0694 "
20200206,MBO Ch.2 - FX Options,376.291,1.330,"   0,8775",6,"   0,0029 "
20200206,MBO Ch.3 - Interest rate Futures,1.293.901,4.429,"   2,7009",104,"   0,0638 "
20200206,MBO Ch.4 - Interest rate Option,43.205,831,"   0,5538",0,0 
20200206,MBO Ch.5 - Commodity Futures,68.198,151,"   0,1058",1,"   0,0005 "
20200206,MBO Ch.6 - Commodity Options,57.876,1.822,"   1,1574",0,0 
20200206,MBO Ch.7 - Equity Index Futures,3.230.453,1.338,"   0,9053",1195,"   0,7754 "
20200206,MBO Ch.8 - Market Maker Program,3.227.339,558,"   0,3370",83,"   0,0620 "
20200206,MBO Ch.9 - FX Spot,2.229,13,"   0,0040",0,0 
20200206,MBO Ch.10 - Equity Index Fut-mini,13.710.407,5.585,"   4,7756",5585,"   4,7756 "
20200207,Peak of Messages -,0,0,0,0,
20200207,MBO Ch.1 - FX Futures,3.968.490,2.183,"   1,6726",0,0 
20200207,MBO Ch.2 - FX Options,654.766,1.324,"   0,8635",0,0 
20200207,MBO Ch.3 - Interest rate Futures,1.318.070,4.822,"   2,9716",0,0 
20200207,MBO Ch.4 - Interest rate Option,48.867,820,"   0,5522",0,0 
20200207,MBO Ch.5 - Commodity Futures,48.012,110,"   0,0779",0,0 
20200207,MBO Ch.6 - Commodity Options,46.442,1.260,"   0,8027",0,0 
20200207,MBO Ch.7 - Equity Index Futures,4.309.991,1.508,"   0,9691",0,0 
20200207,MBO Ch.8 - Market Maker Program,3.191.915,489,"   0,2998",0,0 
20200207,MBO Ch.9 - FX Spot,2.203,13,"   0,0040",0,0 
20200207,MBO Ch.10 - Equity Index Fut-mini,13.974.598,5.041,"   4,4181",0,0 
20200210,Peak of Messages - 10:15:00,0,0,0,8322,"   6,4717"
20200210,MBO Ch.1 - FX Futures,3.419.189,1.775,"   1,4071",167,"   0,1043 "
20200210,MBO Ch.2 - FX Options,457.249,1.367,"   0,9091",1164,"   0,7773 "
20200210,MBO Ch.3 - Interest rate Futures,1.133.858,6.455,"   3,7926",93,"   0,0536 "
20200210,MBO Ch.4 - Interest rate Option,34.161,677,"   0,4516",0,0 
20200210,MBO Ch.5 - Commodity Futures,67.570,188,"   0,1415",1,"   0,0004 "
20200210,MBO Ch.6 - Commodity Options,50.010,1.505,"   0,9788",773,"   0,4815 "
20200210,MBO Ch.7 - Equity Index Futures,3.716.091,1.355,"   0,8936",808,"   0,4861 "
20200210,MBO Ch.8 - Market Maker Program,4.060.774,441,"   0,2789",247,"   0,1649 "
20200210,MBO Ch.9 - FX Spot,2.289,13,"   0,0056",1,"   0,0003 "
20200210,MBO Ch.10 - Equity Index Fut-mini,12.845.903,5.143,"   4,6195",5068,"   4,4033 "
20200211,Peak of Messages - 11:26:06,0,0,0,7410,"   6,4898"
20200211,MBO Ch.1 - FX Futures,3.695.087,2.644,"   1,9649",375,"   0,2661 "
20200211,MBO Ch.2 - FX Options,346.706,1.291,"   0,8760",159,"   0,1071 "
20200211,MBO Ch.3 - Interest rate Futures,975.051,4.194,"   2,5585",7,"   0,0036 "
20200211,MBO Ch.4 - Interest rate Option,32.724,800,"   0,5358",0,0 
20200211,MBO Ch.5 - Commodity Futures,94.934,503,"   0,3382",0,0 
20200211,MBO Ch.6 - Commodity Options,56.354,1.196,"   0,7578",0,0 
20200211,MBO Ch.7 - Equity Index Futures,4.716.167,2.157,"   1,3207",1778,"   1,1466 "
20200211,MBO Ch.8 - Market Maker Program,5.198.559,571,"   0,3450",150,"   0,1130 "
20200211,MBO Ch.9 - FX Spot,2.359,13,"   0,0040",0,0 
20200211,MBO Ch.10 - Equity Index Fut-mini,13.541.974,4.941,"   4,8534",4941,"   4,8534 "
20200212,Peak of Messages - 10:20:00,0,0,0,8090,"   5,7324"
20200212,MBO Ch.1 - FX Futures,3.589.750,1.931,"   1,7531",182,"   0,1024 "
20200212,MBO Ch.2 - FX Options,373.912,1.458,"   0,9975",1116,"   0,7400 "
20200212,MBO Ch.3 - Interest rate Futures,1.279.157,4.152,"   2,5060",160,"   0,1056 "
