date,UMDF Channel Equities,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200110,"MBO Ch.57 - Other instruments - cash, termo, auction",6.466.543,1.995,"   4,1987",1520,"   4,1987"
20200110,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.468.914,1.872,"   1,2036",374,"   0,1850"
20200110,MBO Ch.59 - OTC,16.000,89,"   0,0899",89,"   0,0899"
20200110,MBO Ch.60 - IBOVESPA Options,7.933.586,3.927,"   2,6754",89,"   0,0383"
20200110,MBO Ch.62 - Index e Iopv,3.434,36,"   0,0411",3,"   0,0009"
20200113,Peak of Messages - 13:28:38,0,0,0,26316,"  16,4851"
20200113,"MBO Ch.51 - Mining - cash, termo, auction",1.297.098,2.118,"   1,6037",1011,"   0,6938"
20200113,"MBO Ch.52 - Mining - options, exercise, strategies",16.842.765,6.884,"   4,1259",4653,"   2,8401"
20200113,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.268.707,855,"   0,9961",855,"   0,5113"
20200113,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.670.266,6.357,"   3,7927",5160,"   2,9766"
20200113,"MBO Ch.55 - Banks - cash, termo, auction",6.196.445,2.343,"   2,3817",2139,"   1,4964"
20200113,"MBO Ch.56 - Banks - options, exercise, strategies",8.666.986,5.617,"   3,3797",4354,"   2,8037"
20200113,"MBO Ch.57 - Other instruments - cash, termo, auction",5.802.953,3.133,"   5,7952",3133,"   2,0162"
20200113,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.286.915,2.580,"   1,6865",2552,"   1,6865"
20200113,MBO Ch.59 - OTC,12.021,87,"   0,0921",10,"   0,0048"
20200113,MBO Ch.60 - IBOVESPA Options,7.232.483,4.866,"   3,3973",2449,"   1,4558"
20200113,MBO Ch.62 - Index e Iopv,4.396,35,"   0,0545",0,0
20200114,Peak of Messages - 15:36:48,0,0,0,29088,"  18,0931"
20200114,"MBO Ch.51 - Mining - cash, termo, auction",1.310.138,1.326,"   1,3435",1177,"   0,7659"
20200114,"MBO Ch.52 - Mining - options, exercise, strategies",15.957.745,8.030,"   4,7233",6623,"   4,1302"
20200114,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.409.417,1.151,"   1,1208",822,"   0,5197"
20200114,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.571.471,8.971,"   5,3282",5187,"   2,8717"
20200114,"MBO Ch.55 - Banks - cash, termo, auction",6.186.129,2.555,"   2,4891",2447,"   1,6014"
20200114,"MBO Ch.56 - Banks - options, exercise, strategies",6.695.698,4.928,"   3,0808",3316,"   2,1250"
20200114,"MBO Ch.57 - Other instruments - cash, termo, auction",6.605.600,3.305,"   5,4563",3305,"   2,0450"
20200114,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.833.292,2.492,"   1,6788",1962,"   1,3140"
20200114,MBO Ch.59 - OTC,18.032,97,"   0,1851",0,0
20200114,MBO Ch.60 - IBOVESPA Options,6.494.435,6.514,"   4,4044",4249,"   2,7200"
20200114,MBO Ch.62 - Index e Iopv,3.392,28,"   0,0455",0,0
20200115,Peak of Messages - 11:34:37,0,0,0,26089,"  16,6583"
20200115,"MBO Ch.51 - Mining - cash, termo, auction",1.492.490,1.105,"   1,6206",1091,"   0,7106"
20200115,"MBO Ch.52 - Mining - options, exercise, strategies",18.490.207,9.306,"   5,6735",9306,"   5,6735"
20200115,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.333.825,959,"   1,1059",274,"   0,1757"
20200115,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.153.292,5.811,"   3,4115",2380,"   1,4246"
20200115,"MBO Ch.55 - Banks - cash, termo, auction",6.852.709,2.535,"   2,7480",2178,"   1,6525"
20200115,"MBO Ch.56 - Banks - options, exercise, strategies",8.128.186,6.133,"   3,7592",5384,"   3,4175"
20200115,"MBO Ch.57 - Other instruments - cash, termo, auction",7.126.905,1.998,"   4,6841",1884,"   1,1522"
20200115,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.546.087,2.266,"   1,4803",1499,"   1,0042"
20200115,MBO Ch.59 - OTC,14.098,98,"   0,0953",0,0
20200115,MBO Ch.60 - IBOVESPA Options,6.733.328,4.990,"   3,4189",2093,"   1,4475"
20200115,MBO Ch.62 - Index e Iopv,3.432,41,"   0,0583",0,0
20200116,Peak of Messages -,0,0,0,0,
20200116,"MBO Ch.51 - Mining - cash, termo, auction",1.416.059,1.197,0,0,0
20200116,"MBO Ch.52 - Mining - options, exercise, strategies",16.569.275,7.803,0,0,0
20200116,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.349.261,965,0,0,0
20200116,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",11.614.253,9.381,0,0,0
20200116,"MBO Ch.55 - Banks - cash, termo, auction",6.419.143,2.362,0,0,0
20200116,"MBO Ch.56 - Banks - options, exercise, strategies",8.016.332,4.987,0,0,0
20200116,"MBO Ch.57 - Other instruments - cash, termo, auction",6.641.665,2.173,0,0,0
20200116,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.852.203,2.258,0,0,0
20200116,MBO Ch.59 - OTC,18.193,87,0,0,0
20200116,MBO Ch.60 - IBOVESPA Options,6.238.592,4.213,0,0,0
20200116,MBO Ch.62 - Index e Iopv,3.416,26,0,0,0
20200117,Peak of Messages - 19:45:00,0,0,0,8465,"  14,0518"
20200117,"MBO Ch.51 - Mining - cash, termo, auction",1.253.411,961,"   1,4609",260,"   1,4609"
20200117,"MBO Ch.52 - Mining - options, exercise, strategies",15.002.419,8.387,"   5,2625",1521,"   0,9409"
20200117,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.196.621,1.019,"   1,2609",204,"   1,2609"
20200117,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",10.350.708,7.153,"   4,1225",2042,"   1,6766"
20200117,"MBO Ch.55 - Banks - cash, termo, auction",5.692.926,3.262,"   2,5489",538,"   2,5489"
20200117,"MBO Ch.56 - Banks - options, exercise, strategies",7.485.460,7.221,"   4,6091",1745,"   1,2198"
20200117,"MBO Ch.57 - Other instruments - cash, termo, auction",5.635.990,2.438,"   4,6017",1538,"   4,6017"
20200117,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.141.289,2.065,"   1,3774",452,"   0,2125"
20200117,MBO Ch.59 - OTC,11.507,93,"   0,0992",93,"   0,0992"
20200117,MBO Ch.60 - IBOVESPA Options,5.482.120,4.602,"   3,1223",69,"   0,0296"
20200117,MBO Ch.62 - Index e Iopv,3.454,39,"   0,0461",3,"   0,0009"
20200120,Peak of Messages - 17:41:37,0,0,0,25150,"  16,5460"
20200120,"MBO Ch.51 - Mining - cash, termo, auction",859.636,1.098,"   1,1627",792,"   0,6803"
20200120,"MBO Ch.52 - Mining - options, exercise, strategies",13.470.487,7.140,"   4,3909",6883,"   4,3158"
20200120,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",864.506,557,"   1,0291",449,"   0,3733"
20200120,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",8.040.483,6.413,"   3,6502",3989,"   2,3351"
20200120,"MBO Ch.55 - Banks - cash, termo, auction",4.606.171,2.324,"   2,1496",1714,"   1,2049"
20200120,"MBO Ch.56 - Banks - options, exercise, strategies",6.109.223,4.163,"   2,5766",3289,"   2,1855"
20200120,"MBO Ch.57 - Other instruments - cash, termo, auction",3.751.977,1.840,"   5,6438",1263,"   0,8606"
20200120,"MBO Ch.58 - Other instruments - options, exercise, strategies",1.706.417,1.932,"   1,3129",1932,"   1,3129"
20200120,MBO Ch.59 - OTC,9.399,86,"   0,0885",1,"   0,0004"
20200120,MBO Ch.60 - IBOVESPA Options,5.213.947,4.838,"   3,2772",4838,"   3,2772"
20200120,MBO Ch.62 - Index e Iopv,3.405,37,"   0,0408",0,0
20200121,Peak of Messages -,0,0,0,0,
20200121,"MBO Ch.51 - Mining - cash, termo, auction",1.280.984,1.123,0,0,0
20200121,"MBO Ch.52 - Mining - options, exercise, strategies",15.586.406,10.148,0,0,0
20200121,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.307.157,810,0,0,0
20200121,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",9.431.063,6.493,0,0,0
20200121,"MBO Ch.55 - Banks - cash, termo, auction",6.779.094,2.827,0,0,0
20200121,"MBO Ch.56 - Banks - options, exercise, strategies",8.167.432,5.400,0,0,0
20200121,"MBO Ch.57 - Other instruments - cash, termo, auction",7.292.477,2.468,0,0,0
20200121,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.921.026,2.702,0,0,0
20200121,MBO Ch.59 - OTC,12.027,88,0,0,0
20200121,MBO Ch.60 - IBOVESPA Options,7.561.376,4.789,0,0,0
20200121,MBO Ch.62 - Index e Iopv,3.488,29,0,0,0
20200122,Peak of Messages -,0,0,0,0,
20200122,"MBO Ch.51 - Mining - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.52 - Mining - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.55 - Banks - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.56 - Banks - options, exercise, strategies",0,0,0,0,0
20200122,"MBO Ch.57 - Other instruments - cash, termo, auction",0,0,0,0,0
20200122,"MBO Ch.58 - Other instruments - options, exercise, strategies",0,0,0,0,0
20200122,MBO Ch.59 - OTC,0,0,0,0,0
20200122,MBO Ch.60 - IBOVESPA Options,0,0,0,0,0
20200122,MBO Ch.62 - Index e Iopv,0,0,0,0,0
20200123,Peak of Messages -,0,0,0,0,
20200123,"MBO Ch.51 - Mining - cash, termo, auction",1.855.841,1.193,0,0,0
20200123,"MBO Ch.52 - Mining - options, exercise, strategies",18.111.557,8.114,0,0,0
20200123,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.636.773,1.166,0,0,0
20200123,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",12.308.006,7.531,0,0,0
20200123,"MBO Ch.55 - Banks - cash, termo, auction",7.414.032,2.556,0,0,0
20200123,"MBO Ch.56 - Banks - options, exercise, strategies",9.473.420,7.907,0,0,0
20200123,"MBO Ch.57 - Other instruments - cash, termo, auction",7.470.933,2.527,0,0,0
20200123,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.859.611,3.083,0,0,0
20200123,MBO Ch.59 - OTC,13.222,81,0,0,0
20200123,MBO Ch.60 - IBOVESPA Options,8.391.943,4.889,0,0,0
20200123,MBO Ch.62 - Index e Iopv,3.442,33,0,0,0
20200124,Peak of Messages -,0,0,0,0,
20200124,"MBO Ch.51 - Mining - cash, termo, auction",1.702.094,1.245,"   1,5026",0,0
20200124,"MBO Ch.52 - Mining - options, exercise, strategies",17.743.356,6.488,"   4,1442",0,0
20200124,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.537.322,1.386,"   1,1559",0,0
20200124,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.651.785,7.108,"   4,2438",0,0
20200124,"MBO Ch.55 - Banks - cash, termo, auction",6.946.549,2.798,"   2,5323",0,0
20200124,"MBO Ch.56 - Banks - options, exercise, strategies",8.276.595,5.102,"   3,2020",0,0
20200124,"MBO Ch.57 - Other instruments - cash, termo, auction",7.352.250,2.353,"   4,3940",0,0
20200124,"MBO Ch.58 - Other instruments - options, exercise, strategies",2.600.599,2.531,"   1,7920",0,0
20200124,MBO Ch.59 - OTC,15.556,82,"   0,0955",0,0
20200124,MBO Ch.60 - IBOVESPA Options,10.133.291,4.603,"   3,2457",0,0
20200124,MBO Ch.62 - Index e Iopv,3.433,38,"   0,0433",0,0
20200127,Peak of Messages - 11:17:29,0,0,0,25514,"  15,8142"
20200127,"MBO Ch.51 - Mining - cash, termo, auction",2.000.295,1.473,"   1,3344",983,"   0,6214"
20200127,"MBO Ch.52 - Mining - options, exercise, strategies",18.371.016,8.020,"   4,7615",5693,"   3,3057"
20200127,"MBO Ch.53 - Oil and Biofuels - cash, termo, auction",1.860.310,2.034,"   1,3043",689,"   0,4760"
20200127,"MBO Ch.54 - Oil and Biofuels - options, exercise, strategies",13.042.786,9.398,"   5,4573",3831,"   2,2840"
20200127,"MBO Ch.55 - Banks - cash, termo, auction",8.018.899,2.568,"   1,9285",2568,"   1,9285"
20200127,"MBO Ch.56 - Banks - options, exercise, strategies",8.241.934,5.120,"   3,1405",5120,"   3,1405"
